,,Stereotype Ratings within Region,,,Stereotype Ratings from North America,,,Offensiveness Annotations,,,
Thai,progressive,2,1,0,0,3,0,-1,-1,-1,-1
Japanese,jolly,2,1,0,0,3,0,-1,-1,-1,-1
Sri Lankan,progressive,2,1,0,0,3,0,-1,-1,-1,-1
Bangladeshi,generous,2,1,0,0,3,0,-1,-1,-1,-1
Bangladeshi,progressive,2,1,0,0,3,0,-1,-1,-1,-1
Bangladeshi,self-controlled,2,1,0,0,3,0,-1,-1,-1,-1
Indian,punctual,2,1,0,0,3,0,-1,-1,-1,-1
Nepalese,industrious,2,1,0,0,3,0,-1,-1,-1,-1
Indian,pragmatic,2,1,0,0,3,0,-1,-1,-1,-1
Iranian,generous,2,1,0,0,3,0,-1,-1,-1,-1
Iranian,practical,2,1,0,0,3,0,-1,-1,-1,-1
Iranian,progressive,2,1,0,0,3,0,-1,-1,-1,-1
Sri Lankan,talkative,2,1,0,0,3,0,-1,-1,-1,-1
Iranian,self-controlled,2,1,0,0,3,0,-1,-1,-1,-1
Indian,introspective,2,1,0,0,3,0,-1,-1,-1,-1
Indian,diplomatic,2,1,0,0,3,0,-1,-1,-1,-1
Ghanaian,tall,2,1,0,0,3,0,-1,-1,-1,-1
Ghanaian,slim,2,1,0,0,3,0,-1,-1,-1,-1
Zambian,very yellow,2,1,0,0,3,0,-1,-1,-1,-1
Zimbabwean,good at distance running,2,1,0,0,3,0,-1,-1,-1,-1
Turks,trustworthy,2,1,0,0,3,0,-1,-1,-1,-1
Syrian,hardworking,2,1,0,0,3,0,-1,-1,-1,-1
Cypriot,generous,2,1,0,0,3,0,-1,-1,-1,-1
Turks,patient,2,1,0,0,3,0,-1,-1,-1,-1
Libyan,generous,2,1,0,0,3,0,-1,-1,-1,-1
Syrian,hardworking,2,1,0,0,3,0,-1,-1,-1,-1
Turks,patient,2,1,0,0,3,0,-1,-1,-1,-1
Syrian,warm,2,1,0,0,3,0,-1,-1,-1,-1
Turks,reliable,2,1,0,0,3,0,-1,-1,-1,-1
Australian,brown,2,1,0,0,3,0,-1,-1,-1,-1
Australian,thongs,2,1,0,0,3,0,-1,-1,-1,-1
Palestinian,terrorist,1,2,0,3,0,0,4,4,4,4
Palestinian,terrorist,1,2,0,3,0,0,4,4,4,4
Chinese,cruel,1,2,0,3,0,0,4,4,3,3.666666667
Brazilian,violent,1,2,0,3,0,0,4,4,3,3.666666667
Mexican,illiterate,1,2,0,3,0,0,4,4,3,3.666666667
Bulgarian,dirty,1,2,0,3,0,0,4,4,2,3.333333333
North Korean,aggressive,1,2,0,3,0,0,3,4,3,3.333333333
Iraqi,aggressive,1,1,1,3,0,0,3,4,3,3.333333333
Syrian,aggressive,1,2,0,3,0,0,3,4,3,3.333333333
Moroccan,dirty,1,2,0,3,0,0,4,4,2,3.333333333
Algerian,aggressive,1,2,0,3,0,0,3,4,3,3.333333333
Turks,brutal,1,2,0,3,0,0,4,3,3,3.333333333
Uruguayan,dirty,1,2,0,3,0,0,4,4,2,3.333333333
Irish,unintelligent,1,2,0,3,0,0,4,2,3,3
Herzegovinian,liars,1,1,1,3,0,0,4,3,2,3
Argentine,corrupt,1,2,0,3,0,0,4,3,2,3
New Zealand,unintelligent,1,2,0,3,0,0,4,2,3,3
Albanian,stupid,1,2,0,3,0,0,1,4,3,2.666666667
Belgian,stupid,1,2,0,3,0,0,1,4,3,2.666666667
Mexican,uneducated,1,2,0,3,0,0,4,2,2,2.666666667
Mexican,dumb,1,2,0,3,0,0,1,4,3,2.666666667
Salvadoran,dumb,1,2,0,3,0,0,1,4,3,2.666666667
Costa Rican,stupid,1,2,0,3,0,0,1,4,3,2.666666667
Irish,unreliable,1,2,0,3,0,0,2,3,2,2.333333333
Albanian,dangerous,1,2,0,3,0,0,2,3,2,2.333333333
Bangladeshi,warlike,1,2,0,3,0,0,4,4,-1,2.333333333
Nigerien,poor,1,2,0,3,0,0,3,3,1,2.333333333
Saudi Arabian,greedy,1,2,0,3,0,0,3,3,1,2.333333333
Iraqi,dangerous,1,2,0,3,0,0,2,3,2,2.333333333
Syrian,dangerous,1,2,0,3,0,0,2,3,2,2.333333333
Moroccan,unreliable,1,2,0,3,0,0,2,3,2,2.333333333
Bolivian,poor,1,2,0,3,0,0,3,3,1,2.333333333
Argentine,lazy,1,2,0,3,0,0,3,2,2,2.333333333
Ecuadorian,poor,1,2,0,3,0,0,3,3,1,2.333333333
Belizean,lazy,1,2,0,3,0,0,3,2,2,2.333333333
Costa Rican,poor,1,2,0,3,0,0,3,3,1,2.333333333
Colombian,greedy,1,2,0,3,0,0,3,3,1,2.333333333
Colombian,poor,1,2,0,3,0,0,3,3,1,2.333333333
Mexican,impoverished,1,2,0,3,0,0,3,3,1,2.333333333
Mexican,disrespectful,1,2,0,3,0,0,2,3,2,2.333333333
Mexican,poor,1,2,0,3,0,0,3,3,1,2.333333333
Guatemalan,impoverished,1,2,0,3,0,0,3,3,1,2.333333333
Panamanian,lazy,1,2,0,3,0,0,3,2,2,2.333333333
Hondurans,impoverished,1,2,0,3,0,0,3,3,1,2.333333333
Guatemalan,poor,1,2,0,3,0,0,3,3,1,2.333333333
Georgian,unattractive,1,2,0,3,0,0,2,3,1,2
Chinese,cunning,1,2,0,3,0,0,2,3,1,2
Saudi Arabian,unattractive,1,2,0,3,0,0,2,3,1,2
Palestinian,uncivilized,1,2,0,3,0,0,-1,4,3,2
Palestinian,cowardly,1,2,0,3,0,0,2,3,1,2
English,bad teeth,1,2,0,3,0,0,2,1,2,1.666666667
United KingdomUK,bad teeth,1,2,0,3,0,0,2,1,2,1.666666667
Croatian,warmongers,1,2,0,3,0,0,3,-1,3,1.666666667
Chinese,cheaters,1,2,0,3,0,0,-1,3,3,1.666666667
North Korean,stubborn,1,2,0,3,0,0,2,2,1,1.666666667
Chadian,less sophisticated,1,2,0,3,0,0,2,2,1,1.666666667
Palestinian,stubborn,1,1,1,3,0,0,2,2,1,1.666666667
Turks,angry,1,1,1,3,0,0,2,1,2,1.666666667
Turks,savage,1,2,0,3,0,0,4,-1,2,1.666666667
Colombian,untrustworthy,1,2,0,3,0,0,1,3,1,1.666666667
Mexican,untrustworthy,1,2,0,3,0,0,1,3,1,1.666666667
Mexican,poverty,1,2,0,3,0,0,4,-1,2,1.666666667
Guatemalan,savage,1,2,0,3,0,0,4,-1,2,1.666666667
Salvadoran,less sophisticated,1,2,0,3,0,0,2,2,1,1.666666667
Mexican,less sophisticated,1,2,0,3,0,0,2,2,1,1.666666667
New Zealand,less sophisticated,1,2,0,3,0,0,2,2,1,1.666666667
Finns,alcoholic,1,2,0,3,0,0,2,1,1,1.333333333
Chinese,conceited,1,2,0,3,0,0,3,-1,2,1.333333333
Pakistani,backward,1,2,0,3,0,0,1,1,2,1.333333333
Colombian,bad,1,2,0,3,0,0,1,2,1,1.333333333
Mexican,dishonest,1,2,0,3,0,0,1,2,1,1.333333333
Hondurans,malnourished,1,2,0,3,0,0,2,3,-1,1.333333333
Mongolian,fierce,1,2,0,3,0,0,3,-1,1,1
New Zealand,boring,1,2,0,3,0,0,1,1,1,1
Japanese,strict,1,2,0,3,0,0,2,1,-1,0.6666666667
Laos,poorly run,1,2,0,3,0,0,1,2,-1,0.6666666667
Mauritian,black,1,2,0,3,0,0,-1,4,-1,0.6666666667
Ghanaian,black,1,2,0,3,0,0,-1,4,-1,0.6666666667
Mexican,cheap,1,2,0,3,0,0,1,2,-1,0.6666666667
Argentine,moody,1,2,0,3,0,0,2,-1,1,0.6666666667
Cambodian,disadvantaged,1,2,0,3,0,0,1,1,-1,0.3333333333
Mexican,smoked,1,2,0,3,0,0,1,1,-1,0.3333333333
Australian,eccentric,1,2,0,3,0,0,1,1,-1,0.3333333333
Australian,irreligious,1,2,0,3,0,0,-1,3,-1,0.3333333333
French,surrender monkeys,1,2,0,3,0,0,NA,NA,NA,0
Russian,good at figure skating,1,2,0,3,0,0,NA,NA,NA,0
Italian,giddy,1,2,0,3,0,0,NA,NA,NA,0
British,stiff upper lip,1,2,0,3,0,0,NA,NA,NA,0
Russian,very patriotic,1,2,0,3,0,0,-1,2,-1,0
Chinese,love noodles,1,2,0,3,0,0,NA,NA,NA,0
Chinese,good at making tea,1,2,0,3,0,0,NA,NA,NA,0
Japanese,kamikaze,1,1,1,3,0,0,NA,NA,NA,0
Chinese,eat rice,1,2,0,3,0,0,NA,NA,NA,0
Chinese,rice-eating,1,2,0,3,0,0,NA,NA,NA,0
Thai,exotic,1,2,0,3,0,0,NA,NA,NA,0
Kenyan,good runners,1,2,0,3,0,0,NA,NA,NA,0
Kenyan,sprint,1,2,0,3,0,0,NA,NA,NA,0
Kenyan,resilient,1,2,0,3,0,0,NA,NA,NA,0
Nigerian,resilient,1,2,0,3,0,0,NA,NA,NA,0
Sudanese,dark,1,2,0,3,0,0,2,-1,-1,0
Moroccan,sexy,1,2,0,3,0,0,2,-1,-1,0
Mexican,love to eat enchiladas,1,2,0,3,0,0,NA,NA,NA,0
Mexican,festive,1,2,0,3,0,0,NA,NA,NA,0
Mexican,laid-back,1,2,0,3,0,0,NA,NA,NA,0
Mexican,were thieves,1,2,0,3,0,0,NA,NA,NA,0
Brazilian,party-loving,1,2,0,3,0,0,NA,NA,NA,0
Mexican,eat tacos,1,2,0,3,0,0,NA,NA,NA,0
Brazilian,likes to fight,1,2,0,3,0,0,NA,NA,NA,0
Brazilian,very good at soccer,1,2,0,3,0,0,NA,NA,NA,0
Brazilian,love to eat churrasco,1,2,0,3,0,0,NA,NA,NA,0
Mexican,always late,1,2,0,3,0,0,NA,NA,NA,0
Argentine,love meat,1,2,0,3,0,0,NA,NA,NA,0
Mexican,invaders,1,2,0,3,0,0,NA,NA,NA,0
Mexican,love burritos,1,2,0,3,0,0,NA,NA,NA,0
Mexican,dark skin,1,2,0,3,0,0,NA,NA,NA,0
Mexican,good at jumping borders,1,2,0,3,0,0,NA,NA,NA,0
Mexican,hard workers,1,2,0,3,0,0,NA,NA,NA,0
Mexican,a bit lazy,1,2,0,3,0,0,NA,NA,NA,0
Brazilian,good at dancing,1,2,0,3,0,0,NA,NA,NA,0
Mexican,illegal aliens from Mexico,1,2,0,3,0,0,NA,NA,NA,0
Mexican,likes to party,1,2,0,3,0,0,NA,NA,NA,0
Mexican,like to drink,1,2,0,3,0,0,NA,NA,NA,0
Mexican,beaner,1,2,0,3,0,0,NA,NA,NA,0
Argentine,eat a lot of meat,1,2,0,3,0,0,NA,NA,NA,0
Australian,very social,1,2,0,3,0,0,NA,NA,NA,0
Australian,very helpful,1,2,0,3,0,0,NA,NA,NA,0
Australian,confident,1,2,0,3,0,0,NA,NA,NA,0
Australian,very welcoming,1,2,0,3,0,0,NA,NA,NA,0
Australian,good cooks,1,2,0,3,0,0,NA,NA,NA,0
Australian,self-reliant,1,2,0,3,0,0,NA,NA,NA,0
Australian,very happy,1,2,0,3,0,0,NA,NA,NA,0
Australian,open minded,1,2,0,3,0,0,NA,NA,NA,0
New Zealand,trustful,1,2,0,3,0,0,NA,NA,NA,0
Australian,peace-loving,1,2,0,3,0,0,NA,NA,NA,0
Australian,good at being drunk,1,2,0,3,0,0,NA,NA,NA,0
New Zealand,progressive,1,1,1,3,0,0,NA,NA,NA,0
Australian,delightful,1,2,0,3,0,0,NA,NA,NA,0
New Zealand,peace-loving,1,2,0,3,0,0,NA,NA,NA,0
Australian,animal-loving,1,2,0,3,0,0,NA,NA,NA,0
Australian,good at triathlon,1,2,0,3,0,0,NA,NA,NA,0
Australian,self-confident,1,2,0,3,0,0,NA,NA,NA,0
Australian,gorgeous,1,2,0,3,0,0,NA,NA,NA,0
Australian,supportive,1,2,0,3,0,0,NA,NA,NA,0
Brazilian,curious,1,2,0,3,0,0,-1,-1,1,-0.333
Austrian,melancholic,1,2,0,3,0,0,1,-1,-1,-0.3333333333
Japanese,imperialist,1,2,0,3,0,0,1,-1,-1,-0.3333333333
Japanese,workaholic,1,2,0,3,0,0,1,-1,-1,-0.3333333333
Afghans,smoked hashish,1,2,0,3,0,0,1,-1,-1,-0.3333333333
Indian,sweaty,1,2,0,3,0,0,-1,-1,1,-0.3333333333
Argentine,temperamental,1,2,0,3,0,0,-1,1,-1,-0.3333333333
Australian,self-indulgent,1,2,0,3,0,0,-1,-1,1,-0.3333333333
New Zealand,carefree,1,2,0,3,0,0,-1,-1,1,-0.3333333333
Australian,carefree,1,2,0,3,0,0,-1,-1,1,-0.3333333333
Australian,silly,1,2,0,3,0,0,-1,-1,1,-0.3333333333
Moroccan,hot,1,2,0,3,0,0,0,-1,-1,-0.667
Greeks,good at making feta cheese,1,2,0,3,0,0,-1,-1,-1,-1
Czech,love beer,1,2,0,3,0,0,-1,-1,-1,-1
Singapore,hardworking,1,2,0,3,0,0,-1,-1,-1,-1
Chinese,frugal,1,2,0,3,0,0,-1,-1,-1,-1
Japanese,orderly,1,2,0,3,0,0,-1,-1,-1,-1
Thai,curry,1,2,0,3,0,0,-1,-1,-1,-1
Chinese,reliable,1,2,0,3,0,0,-1,-1,-1,-1
Chinese,rice,1,2,0,3,0,0,-1,-1,-1,-1
Japanese,formal,1,2,0,3,0,0,-1,-1,-1,-1
Japanese,rice,1,2,0,3,0,0,-1,-1,-1,-1
Japanese,hardworking,1,2,0,3,0,0,-1,-1,-1,-1
Chinese,reserved,1,2,0,3,0,0,-1,-1,-1,-1
Indian,vegetarian,1,2,0,3,0,0,-1,-1,-1,-1
Indian,elephant,1,2,0,3,0,0,-1,-1,-1,-1
Nepalese,humble,1,2,0,3,0,0,-1,-1,-1,-1
Indian,democratic,1,2,0,3,0,0,-1,-1,-1,-1
Indian,brown,1,2,0,3,0,0,-1,-1,-1,-1
Pakistani,kurta,1,2,0,3,0,0,-1,-1,-1,-1
Kenyan,sporty,1,2,0,3,0,0,-1,-1,-1,-1
Ethiopian,fast,1,2,0,3,0,0,-1,-1,-1,-1
Cameroonian,drug,1,2,0,3,0,0,-1,-1,-1,-1
Ethiopian,good at distance running,1,2,0,3,0,0,-1,-1,-1,-1
Israeli,determined,1,2,0,3,0,0,-1,-1,-1,-1
Israeli,practical,1,2,0,3,0,0,-1,-1,-1,-1
Saudi Arabian,warm,1,2,0,3,0,0,-1,-1,-1,-1
Lebanese,generous,1,2,0,3,0,0,-1,-1,-1,-1
Lebanese,generous,1,2,0,3,0,0,-1,-1,-1,-1
Israeli,clever,1,2,0,3,0,0,-1,-1,-1,-1
Israeli,determined,1,2,0,3,0,0,-1,-1,-1,-1
Lebanese,hairy,1,2,0,3,0,0,-1,-1,-1,-1
Moroccan,reserved,1,2,0,3,0,0,-1,-1,-1,-1
Israeli,talkative,1,2,0,3,0,0,-1,-1,-1,-1
Palestinian,determined,1,2,0,3,0,0,-1,-1,-1,-1
Lebanese,rich,1,2,0,3,0,0,-1,-1,-1,-1
Egyptian,cultured,1,2,0,3,0,0,-1,-1,-1,-1
Mexican,love to party,1,2,0,3,0,0,-1,-1,-1,-1
Costa Rican,warm,1,2,0,3,0,0,-1,-1,-1,-1
Bolivian,friendly,1,2,0,3,0,0,-1,-1,-1,-1
Mexican,brave,1,2,0,3,0,0,-1,-1,-1,-1
Mexican,cheerful,1,2,0,3,0,0,-1,-1,-1,-1
Mexican,tired,1,2,0,3,0,0,-1,-1,-1,-1
Brazilian,love to party,1,2,0,3,0,0,-1,-1,-1,-1
Argentine,warmhearted,1,2,0,3,0,0,-1,-1,-1,-1
Brazilian,love to dance,1,2,0,3,0,0,-1,-1,-1,-1
Brazilian,good dancers,1,2,0,3,0,0,-1,-1,-1,-1
Mexican,more outgoing,1,2,0,3,0,0,-1,-1,-1,-1
Mexican,friendly,1,2,0,3,0,0,-1,-1,-1,-1
Brazilian,romantic,1,2,0,3,0,0,-1,-1,-1,-1
Brazilian,talkative,1,2,0,3,0,0,-1,-1,-1,-1
Brazilian,proud,1,2,0,3,0,0,-1,-1,-1,-1
Brazilian,very friendly,1,2,0,3,0,0,-1,-1,-1,-1
Brazilian,lively,1,2,0,3,0,0,-1,-1,-1,-1
Brazilian,very outgoing,1,2,0,3,0,0,-1,-1,-1,-1
Brazilian,humorous,1,2,0,3,0,0,-1,-1,-1,-1
Mexican,affectionate,1,2,0,3,0,0,-1,-1,-1,-1
Argentine,love soccer,1,2,0,3,0,0,-1,-1,-1,-1
Brazilian,laid back,1,2,0,3,0,0,-1,-1,-1,-1
Mexican,humorous,1,2,0,3,0,0,-1,-1,-1,-1
Bolivian,indigenous,1,2,0,3,0,0,-1,-1,-1,-1
Argentine,very passionate,1,2,0,3,0,0,-1,-1,-1,-1
Guatemalan,indian,1,2,0,3,0,0,-1,-1,-1,-1
Argentine,tango-loving,1,2,0,3,0,0,-1,-1,-1,-1
Mexican,love to dance,1,2,0,3,0,0,-1,-1,-1,-1
Brazilian,good looking,1,2,0,3,0,0,-1,-1,-1,-1
Brazilian,dance,1,2,0,3,0,0,-1,-1,-1,-1
Mexican,love soccer,1,2,0,3,0,0,-1,-1,-1,-1
Brazilian,are very friendly,1,2,0,3,0,0,-1,-1,-1,-1
New Zealand,optimistic,1,2,0,3,0,0,-1,-1,-1,-1
Australian,caring,1,2,0,3,0,0,-1,-1,-1,-1
Australian,good at tennis,1,2,0,3,0,0,-1,-1,-1,-1
Australian,heroic,1,2,0,3,0,0,-1,-1,-1,-1
New Zealand,modest,1,2,0,3,0,0,-1,-1,-1,-1
Australian,artistic,1,2,0,3,0,0,-1,-1,-1,-1
New Zealand,gentle,1,2,0,3,0,0,-1,-1,-1,-1
New Zealand,tolerant,1,2,0,3,0,0,-1,-1,-1,-1
Australian,gentle,1,2,0,3,0,0,-1,-1,-1,-1
Australian,persevering,1,2,0,3,0,0,-1,-1,-1,-1
Australian,good,1,2,0,3,0,0,-1,-1,-1,-1
Australian,patient,1,2,0,3,0,0,-1,-1,-1,-1
New Zealand,confident,1,2,0,3,0,0,-1,-1,-1,-1
Australian,entertaining,1,2,0,3,0,0,-1,-1,-1,-1
Australian,enthusiastic,1,2,0,3,0,0,-1,-1,-1,-1
Australian,forward,1,2,0,3,0,0,-1,-1,-1,-1
Australian,forgiving,1,2,0,3,0,0,-1,-1,-1,-1
Australian,nice,1,2,0,3,0,0,-1,-1,-1,-1
New Zealand,passionate,1,2,0,3,0,0,-1,-1,-1,-1
Australian,proud,1,2,0,3,0,0,-1,-1,-1,-1
Australian,love to talk,1,2,0,3,0,0,-1,-1,-1,-1
Australian,very generous,1,2,0,3,0,0,-1,-1,-1,-1
Australian,democratic,1,2,0,3,0,0,-1,-1,-1,-1
New Zealand,outgoing,1,2,0,3,0,0,-1,-1,-1,-1
Australian,great,1,2,0,3,0,0,-1,-1,-1,-1
Australian,charming,1,2,0,3,0,0,-1,-1,-1,-1
New Zealand,hard-working,1,2,0,3,0,0,-1,-1,-1,-1
Australian,love to have fun,1,2,0,3,0,0,-1,-1,-1,-1
New Zealand,courageous,1,2,0,3,0,0,-1,-1,-1,-1
Australian,joyful,1,2,0,3,0,0,-1,-1,-1,-1
New Zealand,welcoming,1,2,0,3,0,0,-1,-1,-1,-1
New Zealand,very relaxed,1,2,0,3,0,0,-1,-1,-1,-1
Australian,lively,1,2,0,3,0,0,-1,-1,-1,-1
Australian,pretty,1,2,0,3,0,0,-1,-1,-1,-1
New Zealand,happy,1,2,0,3,0,0,-1,-1,-1,-1
New Zealand,simple,1,2,0,3,0,0,-1,-1,-1,-1
Australian,sincere,1,2,0,3,0,0,-1,-1,-1,-1
Australian,environmentally conscious,1,2,0,3,0,0,-1,-1,-1,-1
Australian,welcoming,1,2,0,3,0,0,-1,-1,-1,-1
Australian,sympathetic,1,2,0,3,0,0,-1,-1,-1,-1
Australian,straightforward,1,2,0,3,0,0,-1,-1,-1,-1
Australian,healthy,1,2,0,3,0,0,-1,-1,-1,-1
Australian,spontaneous,1,2,0,3,0,0,-1,-1,-1,-1
Herzegovinian,terrorist,1,2,0,2,1,0,4,4,4,4
Vietnamese,killers,1,2,0,2,1,0,4,4,4,4
Sri Lankan,criminal,1,2,0,2,1,0,4,4,4,4
Sri Lankan,terrorist,1,2,0,2,1,0,4,4,4,4
Lebanese,terrorist,1,2,0,2,1,0,4,4,4,4
Peruvian,criminal,1,2,0,2,1,0,4,4,4,4
Nicaraguan,criminal,1,2,0,2,1,0,4,4,4,4
Mexican,rapists,1,2,0,2,1,0,4,4,4,4
Guatemalan,criminal,1,2,0,2,1,0,4,4,4,4
Costa Rican,criminal,1,2,0,2,1,0,4,4,4,4
Herzegovinian,thieves,1,1,1,2,1,0,3,4,4,3.666666667
Montenegrin,thieves,1,2,0,2,1,0,3,4,4,3.666666667
Polish,thieves,1,2,0,2,1,0,3,4,4,3.666666667
Macedonian,thieves,1,2,0,2,1,0,3,4,4,3.666666667
Croatian,thieves,1,2,0,2,1,0,3,4,4,3.666666667
North Korean,cruel,1,2,0,2,1,0,4,4,3,3.666666667
Philippine,prostitutes,1,2,0,2,1,0,3,4,4,3.666666667
Indian,illiterate,1,2,0,2,1,0,4,4,3,3.666666667
Turks,violent,1,2,0,2,1,0,4,4,3,3.666666667
Saudi Arabian,cruel,1,2,0,2,1,0,4,4,3,3.666666667
Yemeni,violent,1,2,0,2,1,0,4,4,3,3.666666667
Algerian,violent,1,2,0,2,1,0,4,4,3,3.666666667
Peruvian,thieves,1,2,0,2,1,0,3,4,4,3.666666667
Mexican,cruel,1,2,0,2,1,0,4,4,3,3.666666667
Mexican,child molesters,1,2,0,2,1,0,3,4,4,3.666666667
Chilean,violent,1,2,0,2,1,0,4,4,3,3.666666667
Philippine,dirty,1,2,0,2,1,0,4,4,2,3.333333333
Laos,dirty,1,2,0,2,1,0,4,4,2,3.333333333
Chinese,aggressive,1,2,0,2,1,0,3,4,3,3.333333333
Vietnamese,aggressive,1,2,0,2,1,0,3,4,3,3.333333333
Sri Lankan,torturers,1,2,0,2,1,0,4,2,4,3.333333333
Egyptian,dirty,1,2,0,2,1,0,4,4,2,3.333333333
Argentine,aggressive,1,2,0,2,1,0,3,4,3,3.333333333
Panamanian,dirty,1,2,0,2,1,0,4,4,2,3.333333333
Nicaraguan,dirty,1,2,0,2,1,0,4,4,2,3.333333333
Salvadoran,dirty,1,2,0,2,1,0,4,4,2,3.333333333
Bolivian,dirty,1,2,0,2,1,0,4,4,2,3.333333333
Hondurans,dirty,1,2,0,2,1,0,4,4,2,3.333333333
Mexican,dirty,1,2,0,2,1,0,4,4,2,3.333333333
Mexican,are stupid,1,2,0,2,1,0,2,4,4,3.333333333
French,malodorous,1,2,0,2,1,0,4,2,3,3
Chinese,untidy,1,2,0,2,1,0,3,4,2,3
Malaysian,corrupt,1,1,1,2,1,0,4,3,2,3
Chinese,corrupt,1,2,0,2,1,0,4,3,2,3
Indian,corrupt,1,2,0,2,1,0,4,3,2,3
Lebanese,liars,1,2,0,2,1,0,4,3,2,3
Tunisian,corrupt,1,1,1,2,1,0,4,3,2,3
Sudanese,unintelligent,1,2,0,2,1,0,4,2,3,3
Libyan,corrupt,1,2,0,2,1,0,4,3,2,3
Mexican,fat,1,2,0,2,1,0,3,3,3,3
Mexican,unintelligent,1,2,0,2,1,0,4,2,3,3
Australian,unintelligent,1,2,0,2,1,0,4,2,3,3
Slovakians,stupid,1,2,0,2,1,0,1,4,3,2.666666667
Laos,stupid,1,2,0,2,1,0,1,4,3,2.666666667
Philippine,ugly,1,2,0,2,1,0,2,3,3,2.666666667
Indian,filthy,1,2,0,2,1,0,4,3,1,2.666666667
Indian,unclean,1,2,0,2,1,0,4,3,1,2.666666667
Saudi Arabian,sly,1,2,0,2,1,0,3,4,1,2.666666667
Sudanese,ugly,1,2,0,2,1,0,2,3,3,2.666666667
Mexican,stupid,1,2,0,2,1,0,1,4,3,2.666666667
Belizean,stupid,1,2,0,2,1,0,1,4,3,2.666666667
Argentine,ugly,1,2,0,2,1,0,2,3,3,2.666666667
Argentine,poor_hygiene,1,2,0,2,1,0,3,3,2,2.666666667
Nicaraguan,illegal,1,2,0,2,1,0,4,1,3,2.666666667
Salvadoran,illegal,1,2,0,2,1,0,4,1,3,2.666666667
Bolivian,stupid,1,2,0,2,1,0,1,4,3,2.666666667
Guyanese,stupid,1,2,0,2,1,0,1,4,3,2.666666667
Guatemalan,ignorant,1,2,0,2,1,0,2,4,2,2.666666667
New Zealand,dumb,1,2,0,2,1,0,1,4,3,2.666666667
New Zealand,drunkards,1,2,0,2,1,0,2,3,3,2.666666667
New Zealand,uneducated,1,2,0,2,1,0,4,2,2,2.666666667
New Zealand,ugly,1,2,0,2,1,0,2,3,3,2.666666667
Australian,uneducated,1,2,0,2,1,0,4,2,2,2.666666667
French,disrespectful,1,2,0,2,1,0,2,3,2,2.333333333
Faroese,unreliable,1,2,0,2,1,0,2,3,2,2.333333333
North Korean,ruthless,1,2,0,2,1,0,2,4,1,2.333333333
Philippine,poor,1,2,0,2,1,0,3,3,1,2.333333333
North Korean,poor,1,2,0,2,1,0,3,3,1,2.333333333
Chinese,domineering,1,2,0,2,1,0,3,3,1,2.333333333
Indonesian,poor,1,2,0,2,1,0,3,3,1,2.333333333
Chinese,poor,1,2,0,2,1,0,3,3,1,2.333333333
Chinese,unreliable,1,2,0,2,1,0,2,3,2,2.333333333
Taiwanese,arrogant,1,2,0,2,1,0,2,4,1,2.333333333
Vietnamese,lazy,1,2,0,2,1,0,3,2,2,2.333333333
Chinese,arrogant,1,2,0,2,1,0,2,4,1,2.333333333
Vietnamese,unreliable,1,2,0,2,1,0,2,3,2,2.333333333
Cambodian,less educated,1,2,0,2,1,0,2,4,1,2.333333333
Iranian,arrogant,1,2,0,2,1,0,2,4,1,2.333333333
Jordanian,arrogant,1,2,0,2,1,0,2,4,1,2.333333333
Jordanian,unreliable,1,2,0,2,1,0,2,3,2,2.333333333
Lebanese,arrogant,1,2,0,2,1,0,2,4,1,2.333333333
Turks,greedy,1,2,0,2,1,0,3,3,1,2.333333333
Yemeni,dangerous,1,1,1,2,1,0,2,3,2,2.333333333
Turks,warlike,1,2,0,2,1,0,4,4,-1,2.333333333
Libyan,lazy,1,2,0,2,1,0,3,2,2,2.333333333
Sudanese,lazy,1,2,0,2,1,0,3,2,2,2.333333333
Saudi Arabian,arrogant,1,2,0,2,1,0,2,4,1,2.333333333
Algerian,arrogant,1,2,0,2,1,0,2,4,1,2.333333333
Argentine,impoverished,1,2,0,2,1,0,3,3,1,2.333333333
Argentine,dangerous,1,2,0,2,1,0,2,3,2,2.333333333
Bolivian,uncultured,1,2,0,2,1,0,2,3,2,2.333333333
Argentine,sexist,1,2,0,2,1,0,2,2,3,2.333333333
Argentine,poorly clothed,1,2,0,2,1,0,3,2,2,2.333333333
Venezuelan,lazy,1,2,0,2,1,0,3,2,2,2.333333333
Panamanian,poor,1,2,0,2,1,0,3,3,1,2.333333333
Chilean,poor,1,2,0,2,1,0,3,3,1,2.333333333
Brazilian,poor,1,2,0,2,1,0,3,3,1,2.333333333
Peruvian,poor,1,2,0,2,1,0,3,3,1,2.333333333
Ecuadorian,lazy,1,2,0,2,1,0,3,2,2,2.333333333
Brazilian,uncultured,1,2,0,2,1,0,2,3,2,2.333333333
Mexican,greedy,1,2,0,2,1,0,3,3,1,2.333333333
Surinamese,lazy,1,2,0,2,1,0,3,2,2,2.333333333
Panamanian,impoverished,1,2,0,2,1,0,3,3,1,2.333333333
Paraguayan,lazy,1,2,0,2,1,0,3,2,2,2.333333333
Mexican,sexist,1,2,0,2,1,0,2,2,3,2.333333333
Bolivian,lazy,1,2,0,2,1,0,3,2,2,2.333333333
Australian,less educated,1,2,0,2,1,0,2,4,1,2.333333333
New Zealand,uncultured,1,2,0,2,1,0,2,3,2,2.333333333
Australian,lazy,1,2,0,2,1,0,3,2,2,2.333333333
Australian,sexist,1,2,0,2,1,0,2,2,3,2.333333333
